	Term	P-value	trait_efos	trait_category	program_name	trait_reported	Genes	study_id	pmid	-log10(p-value)
36	EFO_0004354	0.1089402939691449	EFO_0004354	biological process	26	Chronotype	RGS16	GCST003837	PMID:27494321	0.9628114571425157
37	EFO_0004354	0.1095376791300666	EFO_0004354	biological process	11	Chronotype	RGS16	GCST003837	PMID:27494321	0.9604364650840939
38	EFO_0004333	0.1097308773099866	EFO_0004333	biological process	8	Episodic memory (pairs-matching)	TPST2	GCST90011295	PMID:32895543	0.9596711485560131
39	EFO_0004337	0.110509269955871	EFO_0004337	biological process	47	General cognitive ability	MEF2C;KMT2E;ADAMTS9;EXT1;FOXP1;ATF7IP	GCST006269	PMID:29844566	0.9566012901071628
40	EFO_0009105	0.1125198008734726	EFO_0009105	biological process	20	High altitude adaptation	NEK7	GCST006054	PMID:28373541	0.9487710450780114
41	EFO_0004333	0.114089592360501	EFO_0004333	biological process	39	Episodic memory (pairs-matching)	TPST2	GCST90011295	PMID:32895543	0.9427539715902145
42	EFO_0004333	0.1148146588245506	EFO_0004333	biological process	25	Episodic memory (pairs-matching)	TPST2	GCST90011295	PMID:32895543	0.9400026603684046
43	EFO_0004329	0.1154503777645927	EFO_0004329	biological process	52	Frequency of needing morning drink of alcohol after heavy drinking session in last year	MRPL36	NEALE2_20412		0.9376046416917191
44	EFO_0004875	0.1190230564990487	EFO_0004875	biological process	12	Highest math class taken (MTAG) [MTAG]	FIGN;PHIP;MPHOSPH9;CBX5;KLF6;TEAD1;KIF20B;JADE1;CENPW;HMGA2;RBMS1;LSM5;BORA;IRF2BP2;CCDC167;MAP3K20;LCORL;FOXP1;SGO1	GCST006568	PMID:30038396	0.9243689012933161
45	GO_0036273	0.1196899685896313	GO_0036273	biological process	47	Statin medication	PIR;IRF2BP2;LIPG;MYLIP;NOS3	FINNGEN_R6_RX_STATIN		0.9219422469931717
46	EFO_0004329	0.1201351719286253	EFO_0004329	biological process	58	Frequency of needing morning drink of alcohol after heavy drinking session in last year	MRPL36	NEALE2_20412		0.9203298257504879
47	EFO_0009105	0.1202359411405393	EFO_0009105	biological process	4	High altitude adaptation	NEK7	GCST006054	PMID:28373541	0.9199656928504487
48	EFO_0004333	0.1213224623548975	EFO_0004333	biological process	47	Episodic memory (pairs-matching)	TPST2	GCST90011295	PMID:32895543	0.9160587838518762
49	GO_0036273	0.1220042901570197	GO_0036273	biological process	29	Statin medication	PIR;LDLR;INSIG2;HHEX;PPP1R3B	FINNGEN_R6_RX_STATIN		0.9136248975321276
50	EFO_0004337	0.1262945794688164	EFO_0004337	biological process	57	General cognitive ability	DDX18;CSE1L;TMEM160	GCST006269	PMID:29844566	0.8986152888532213
51	EFO_0004318	0.1274606894545306	EFO_0004318	biological process	50	Smoking status (ever vs never smokers)	NOL4L;PLXNA2;TRIM8;PDE4B;EFNA5;DNAJC1	GCST007327	PMID:30643258	0.8946237366839551
52	GO_0044691	0.1278662263334563	GO_0044691	biological process	34	Primary tooth development (time to first tooth eruption)	HMGA2	GCST002030	PMID:23704328	0.8932441517993426
53	GO_0036273	0.1287264246512284	GO_0036273	biological process	31	Statin medication	PPP1R3B;LDLR;GAS6;VEGFA	FINNGEN_R6_RX_STATIN		0.8903322930160249
54	EFO_0009105	0.1343400831032873	EFO_0009105	biological process	19	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.8717943873810217
55	EFO_0009105	0.1355072124310718	EFO_0009105	biological process	2	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.8680375886592833
56	EFO_0005670	0.1369641790245153	EFO_0005670	biological process	50	Age of smoking initiation (MTAG)	TLR4;TTL;FOXP1;PDE4B;EFNA5;DNAJC1	GCST007462	PMID:30643251	0.8633930013556042
57	EFO_0005422	0.1388779462393679	EFO_0005422	biological process	28	Facial ageing	AKAP12;BNC2;GSDMC	NEALE2_1757		0.8573667145718513
58	EFO_0005670	0.1403033687473223	EFO_0005670	biological process	37	Age of smoking initiation (MTAG)	BDNF;TLR4;FOXP1;EFNA5;NLGN1;TOX	GCST007462	PMID:30643251	0.852931901239574
59	EFO_0009105	0.1407437264057788	EFO_0009105	biological process	14	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.8515709545446428
60	GO_0044691	0.1438810165615973	GO_0044691	biological process	46	Primary tooth development (time to first tooth eruption)	ADK	GCST002030	PMID:23704328	0.8419965024247483
61	GO_0044691	0.1445717136035	GO_0044691	biological process	12	Primary tooth development (time to first tooth eruption)	HMGA2	GCST002030	PMID:23704328	0.8399166712712114
62	GO_0044691	0.1473298599910902	GO_0044691	biological process	33	Primary tooth development (time to first tooth eruption)	HMGA2	GCST002030	PMID:23704328	0.8317092238625452
63	GO_0044691	0.1487061516124472	GO_0044691	biological process	17	Primary tooth development (time to first tooth eruption)	IGF2BP1	GCST002030	PMID:23704328	0.8276710653981478
64	EFO_0005670	0.1510742729615768	EFO_0005670	biological process	32	Age of smoking initiation (MTAG)	ZNF652;FOXP1;RSRC1;SAMD8;EFNA5	GCST007462	PMID:30643251	0.8208094870979411
65	EFO_0003940	0.1539178932279898	EFO_0003940	biological process	20	Number of days/week of moderate physical activity 10+ minutes	APOE	NEALE2_884		0.8127108897301217
66	EFO_0004318	0.1565402593084608	EFO_0004318	biological process	59	Smoking status (ever vs never smokers)	DNAJC1;OLA1;TMEM18	GCST007327	PMID:30643258	0.8053739511080586
67	EFO_0003940	0.1570931074629615	EFO_0003940	biological process	21	Number of days/week of moderate physical activity 10+ minutes	CTNNB1	NEALE2_884		0.8038428694251407
68	GO_0042476	0.157620399148193	GO_0042476	biological process	7	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.8023875770482901
69	EFO_0004329	0.1579409061454552	EFO_0004329	biological process	16	Frequency of needing morning drink of alcohol after heavy drinking session in last year	EPS8	NEALE2_20412		0.8015053746625651
70	EFO_0004318	0.1613359738305609	EFO_0004318	biological process	38	Smoking status (ever vs never smokers)	BDNF;RARB;MAP3K20;SDK1;PCDH7	GCST007327	PMID:30643258	0.7922687851579491
71	EFO_0005422	0.1631170736904613	EFO_0005422	biological process	42	Facial ageing	SYNE2;RALY	NEALE2_1757		0.7875005783743787
72	GO_0044691	0.1637235836830003	GO_0044691	biological process	32	Primary tooth development (time to first tooth eruption)	KCNJ2	GCST002030	PMID:23704328	0.7858887578166632
73	GO_0044691	0.1671056624791508	GO_0044691	biological process	13	Primary tooth development (time to first tooth eruption)	KCNJ2	GCST002030	PMID:23704328	0.7770088335190376
74	EFO_0004354	0.1693753806904988	EFO_0004354	biological process	15	Chronotype	RGS16	GCST003837	PMID:27494321	0.7711497156540082
75	EFO_0009105	0.1693753806904988	EFO_0009105	biological process	15	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.7711497156540082
76	EFO_0009105	0.1693753806904988	EFO_0009105	biological process	50	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.7711497156540082
77	EFO_0004354	0.1705045603086935	EFO_0004354	biological process	37	Chronotype	RGS16	GCST003837	PMID:27494321	0.7682640008919193
78	EFO_0009105	0.1705045603086935	EFO_0009105	biological process	37	High altitude adaptation	NEK7	GCST006054	PMID:28373541	0.7682640008919193
79	EFO_0005670	0.1705896894553435	EFO_0005670	biological process	34	Age of smoking initiation (MTAG)	MFSD4B;NR2F2;TBC1D5;PCDH9	GCST007462	PMID:30643251	0.7680472213980847
80	EFO_0003940	0.1712555034842392	EFO_0003940	biological process	17	Number of days/week of moderate physical activity 10+ minutes	APOE	NEALE2_884		0.7663554630797346
81	EFO_0009105	0.1721960268547123	EFO_0009105	biological process	28	High altitude adaptation	NEK7	GCST006054	PMID:28373541	0.763976873410708
82	EFO_0009105	0.1727592354362509	EFO_0009105	biological process	48	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.7625587266351437
83	EFO_0005422	0.1729361125676957	EFO_0005422	biological process	36	Facial ageing	SRPK2;ZBTB20;MKLN1	NEALE2_1757		0.7621143077599217
84	GO_0044691	0.1738356331863667	GO_0044691	biological process	31	Primary tooth development (time to first tooth eruption)	MSRB3	GCST002030	PMID:23704328	0.7598611961841059
85	EFO_0009105	0.1761320528845013	EFO_0009105	biological process	8	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.7541616030096678
86	EFO_0009473	0.1766734142316055	EFO_0009473	biological process	43	hemolysis of donated blood (osmotic)	PIEZO1	GCST012135	PMID:34014839	0.7528287980947683
87	EFO_0004354	0.1794938600579957	EFO_0004354	biological process	27	Chronotype	RGS16	GCST003837	PMID:27494321	0.7459504027321152
88	EFO_0009105	0.1800530927051753	EFO_0009105	biological process	9	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.7445994145134325
89	EFO_0004875	0.1806994381437553	EFO_0004875	biological process	21	Highest math class taken (MTAG) [MTAG]	CTNNB1;PFKM;MAST4;GBF1;IRF2BP2;BDNF;PHIP;MDFIC;CRTAC1;RORB;PDE4B;TCF4;GRIN3A;ARAP3;SRGAP3;FAM120A;NR1D2	GCST006568	PMID:30038396	0.7430431978067829
90	EFO_0004875	0.1822285440853409	EFO_0004875	biological process	38	Highest math class taken (MTAG) [MTAG]	SYT1;SDK1;KLF6;CUX1;ACSL5;CALU;BDNF;DUSP6;PCDH7;GSTO1;NR2F1;MARCKS;MAP3K20;RARB;NFIB;PCYOX1;PRKCA;SEMA3F;FOXP1;ZNF385D;BCHE	GCST006568	PMID:30038396	0.7393835946088301
91	EFO_0009473	0.1835957788419776	EFO_0009473	biological process	54	hemolysis of donated blood (osmotic)	UBTF	GCST012135	PMID:34014839	0.7361373081386466
92	EFO_0009105	0.1839591891519206	EFO_0009105	biological process	25	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.7352785133599191
93	EFO_0004337	0.184768449085186	EFO_0004337	biological process	27	General cognitive ability	MYLK;EXT1;PDE4D;SNX29;FOXN3	GCST006269	PMID:29844566	0.733372186568513
94	GO_0042476	0.1855640711942142	GO_0042476	biological process	34	Primary tooth development (number of teeth)	HMGA2	GCST002031	PMID:23704328	0.7315061078185819
95	EFO_0004337	0.1865206176763204	EFO_0004337	biological process	9	General cognitive ability	CSE1L;PTPRF;EXT1;NAV2;ZNF638	GCST006269	PMID:29844566	0.7292731550180314
96	GO_0007568	0.1879811142119974	GO_0007568	biological process	12	DNA methylation PhenoAge acceleration	TRIM59	GCST90014304	PMID:34187551	0.7258857805528869
97	EFO_0003940	0.1882876955706227	EFO_0003940	biological process	32	Number of days/week of moderate physical activity 10+ minutes	CTNNB1	NEALE2_884		0.7251780598048019
98	GO_0036273	0.1887895042759255	GO_0036273	biological process	50	Statin medication	LIPG;PIR;RGS2;IRF2BP2	FINNGEN_R6_RX_STATIN		0.7240221539031721
99	EFO_0003940	0.189821087795258	EFO_0003940	biological process	56	Number of days/week of moderate physical activity 10+ minutes	EXOC4	NEALE2_884		0.7216555421490584
100	EFO_0009473	0.1914436642532308	EFO_0009473	biological process	45	hemolysis of donated blood (osmotic)	MYO9B	GCST012135	PMID:34014839	0.7179590018699173
101	GO_0042476	0.1933951269515296	GO_0042476	biological process	30	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.7135544731936768
102	EFO_0009105	0.1939351185498843	EFO_0009105	biological process	47	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.7123435400114652
103	EFO_0004329	0.1942783248285159	EFO_0004329	biological process	43	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.7115756499018442
104	EFO_0009105	0.1950375047519218	EFO_0009105	biological process	29	High altitude adaptation	NEK7	GCST006054	PMID:28373541	0.7098818679162358
105	GO_0036273	0.1970848235453974	GO_0036273	biological process	28	Statin medication	HMGCR;LDLR;GCKR;HHEX	FINNGEN_R6_RX_STATIN		0.7053468171424397
106	EFO_0005422	0.19944606623721	EFO_0005422	biological process	20	Facial ageing	PLXNA1;LOXL1	NEALE2_1757		0.700174525051412
107	EFO_0005670	0.2009411738599742	EFO_0005670	biological process	21	Age of smoking initiation (MTAG)	PDE4B;MDFIC;BDNF;TLR4	GCST007462	PMID:30643251	0.6969310650036308
108	EFO_0004329	0.2018023533660317	EFO_0004329	biological process	54	Frequency of needing morning drink of alcohol after heavy drinking session in last year	MRPL36	NEALE2_20412		0.6950737734414176
109	EFO_0004329	0.2060733499513188	EFO_0004329	biological process	26	Frequency of needing morning drink of alcohol after heavy drinking session in last year	MRPL36	NEALE2_20412		0.6859781689070722
110	EFO_0004329	0.2071378801873722	EFO_0004329	biological process	11	Frequency of needing morning drink of alcohol after heavy drinking session in last year	KCNIP4	NEALE2_20412		0.6837404725598987
111	GO_0042476	0.2088567308980478	GO_0042476	biological process	12	Primary tooth development (number of teeth)	HMGA2	GCST002031	PMID:23704328	0.6801515240149647
112	EFO_0004329	0.2103237675935069	EFO_0004329	biological process	45	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.6771116471830995
113	GO_0042476	0.212680724751531	GO_0042476	biological process	33	Primary tooth development (number of teeth)	HMGA2	GCST002031	PMID:23704328	0.6722718684112051
114	EFO_0009473	0.2145865533989637	EFO_0009473	biological process	17	hemolysis of donated blood (osmotic)	HK1	GCST012135	PMID:34014839	0.6683974956393842
115	GO_0042476	0.2145865533989637	GO_0042476	biological process	17	Primary tooth development (number of teeth)	IGF2BP1	GCST002031	PMID:23704328	0.6683974956393842
116	GO_0042476	0.2221689265661123	GO_0042476	biological process	44	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.653316683309467
117	EFO_0005670	0.2245699078667443	EFO_0005670	biological process	35	Age of smoking initiation (MTAG)	NTM;NR2F2;FGFR1;PCDH9;PDE4B;NLGN1	GCST007462	PMID:30643251	0.6486484391831474
118	EFO_0005422	0.2247793879612944	EFO_0005422	biological process	46	Facial ageing	KLHL6;AKAP12	NEALE2_1757		0.6482435156345098
119	GO_0007568	0.2248116934191492	GO_0007568	biological process	40	DNA methylation PhenoAge acceleration	TRIM59	GCST90014304	PMID:34187551	0.6481811029991756
120	GO_0036273	0.2255849582545578	GO_0036273	biological process	17	Statin medication	MAFB;CCND2;FAM90A1	FINNGEN_R6_RX_STATIN		0.6466898619796096
121	EFO_0004329	0.2302349203254966	EFO_0004329	biological process	6	Frequency of needing morning drink of alcohol after heavy drinking session in last year	JPH2	NEALE2_20412		0.6378288051436706
122	GO_0042476	0.2306212620747273	GO_0042476	biological process	2	Primary tooth development (number of teeth)	KCNJ2	GCST002031	PMID:23704328	0.6371006555146439
123	EFO_0004337	0.2323483986151215	EFO_0004337	biological process	43	General cognitive ability	FOXP1;EXT1;PTPRF	GCST006269	PMID:29844566	0.633860316406601
124	GO_0042476	0.235281639316645	GO_0042476	biological process	32	Primary tooth development (number of teeth)	KCNJ2	GCST002031	PMID:23704328	0.6284119625587362
125	EFO_0009473	0.2371387528453969	EFO_0009473	biological process	51	hemolysis of donated blood (osmotic)	HK1	GCST012135	PMID:34014839	0.6249974684947733
126	GO_0042476	0.2371387528453969	GO_0042476	biological process	51	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.6249974684947733
127	EFO_0009473	0.2371387528453969	EFO_0009473	biological process	56	hemolysis of donated blood (osmotic)	HK1	GCST012135	PMID:34014839	0.6249974684947733
128	GO_0042476	0.2371387528453969	GO_0042476	biological process	56	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.6249974684947733
129	GO_0042476	0.239916906831342	GO_0042476	biological process	13	Primary tooth development (number of teeth)	KCNJ2	GCST002031	PMID:23704328	0.619939146426336
130	EFO_0004329	0.2435967798287538	EFO_0004329	biological process	44	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.6133284570565948
131	GO_0042476	0.244527183076634	GO_0042476	biological process	38	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.6116728551335026
132	EFO_0004329	0.2456338171418243	EFO_0004329	biological process	24	Frequency of needing morning drink of alcohol after heavy drinking session in last year	EPS8	NEALE2_20412		0.6097118427952523
133	GO_0036273	0.2457793126044464	GO_0036273	biological process	23	Statin medication	COX16;GAS6	FINNGEN_R6_RX_STATIN		0.6094546747442572
134	EFO_0008579	0.2481806335234779	EFO_0008579	biological process	25	General risk tolerance (MTAG)	YWHAZ;CYLD;ADAM15;CTSB;PLXNA2;TCF4;CD34;CDH13	GCST007325	PMID:30643258	0.6052321111613842
135	GO_0042476	0.2491125860310096	GO_0042476	biological process	31	Primary tooth development (number of teeth)	MSRB3	GCST002031	PMID:23704328	0.6036043298471447
136	EFO_0004337	0.2514876404382553	EFO_0004337	biological process	54	General cognitive ability	SPPL2A;CSE1L;TMEM160	GCST006269	PMID:29844566	0.5994833538341453
137	EFO_0004875	0.2518330803655325	EFO_0004875	biological process	29	Highest math class taken (MTAG) [MTAG]	ADARB1;NOVA1;KLF9;BDNF;WASHC4;TLE4;BNIP3L;DUSP6;CAMTA1;CRIM1;TGFBRAP1;MARCKS;EXT1;LCORL;NFIB;CDH2;ALCAM;MBNL2;CTNNAL1;PRKCA;SORBS2;DPYD;PTPN1;BNIP3;TCF4;CELF2;FBXL5	GCST006568	PMID:30038396	0.5988872222957441
138	EFO_0004337	0.2520727709470829	EFO_0004337	biological process	18	General cognitive ability	ADAMTS9;CYLD;KMT2E;CDH4	GCST006269	PMID:29844566	0.5984740645421232
139	EFO_0004329	0.2527246260529034	EFO_0004329	biological process	2	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.5973524373923143
140	GO_0036273	0.2560177705080318	GO_0036273	biological process	1	Statin medication	ZPR1;PXK;VEGFA	FINNGEN_R6_RX_STATIN		0.5917298887282777
141	EFO_0008579	0.2608394692384034	EFO_0008579	biological process	11	General risk tolerance (MTAG)	RASGRF2;PPP1R13B;PLXNA2;CD34;SDCCAG8	GCST007325	PMID:30643258	0.5836266921751558
142	EFO_0004337	0.2609904254215148	EFO_0004337	biological process	58	General cognitive ability	DDX18;SREK1IP1	GCST006269	PMID:29844566	0.5833754247033835
143	EFO_0004329	0.2627503094727723	EFO_0004329	biological process	13	Frequency of needing morning drink of alcohol after heavy drinking session in last year	ABCA5	NEALE2_20412		0.5804567637783571
144	EFO_0004318	0.2646253746310082	EFO_0004318	biological process	24	Smoking status (ever vs never smokers)	CPXM2;BEND7;ASCC3;OLFM1	GCST007327	PMID:30643258	0.5773685141399781
145	GO_0006306	0.2704419910386041	GO_0006306	biological process	35	DNA methylation variation (age effect)	CREB5;PLCB1;CD82;DACH1;SERTAD2;SVIL;ATP9A;FRY	GCST006660	PMID:30348214	0.5679258753764462
146	EFO_0008579	0.2761773524400132	EFO_0008579	biological process	36	General risk tolerance (MTAG)	AKT3;STK24;FOXP1;TET2;REST;SDCCAG8;ZBTB20;TNKS	GCST007325	PMID:30643258	0.5588119380441436
147	EFO_0004319	0.2775454861120456	EFO_0004319	biological process	37	Smoking cessation (MTAG)	FOXP1;CPNE7;PTPRF	GCST007464	PMID:30643251	0.5566658314651476
148	GO_0036273	0.2781178962650524	GO_0036273	biological process	51	Statin medication	USP24;BRWD3;ANKRD17	FINNGEN_R6_RX_STATIN		0.555771064357379
149	EFO_0008579	0.2797001626524097	EFO_0008579	biological process	20	General risk tolerance (MTAG)	CYLD;OMG;DIPK2A;MACROD2;TNKS	GCST007325	PMID:30643258	0.5533072810756537
150	EFO_0005422	0.2812518312493827	EFO_0005422	biological process	14	Facial ageing	MC1R;ZEB2	NEALE2_1757		0.5509046411511136
