Term	FDR q-val	trait_efos	trait_category	program_name	trait_reported	Lead_genes	study_id	pmid	-log10(p-value)
EFO_0008579	0.1179473495535261	EFO_0008579	biological process	0	General risk tolerance (MTAG)	ARHGAP28;AKT3;CD34;AUTS2;PLXNA2;FOXP1;NFIA;RASGRF2;SDCCAG8;ZBTB20;FOXP2;STAG1;XKR6;MSRB3;EBF1;CDH13;ZEB2;SCMH1;GRIN2A;SAMD12;FOXN3;MACROD2;RGS6;TSHZ2;KLHL29;CDK19;CAMKMT;ATG10;HIVEP3;KIAA1328;ACVR2A;IPO11;GJA1;TBC1D32	GCST007325	PMID:30643258	0.928311813889969
EFO_0004875	0.1190931388913948	EFO_0004875	biological process	0	Highest math class taken (MTAG) [MTAG]	KALRN;KIAA1217;ZSWIM6;MAST4;CSGALNACT1;MEF2C;RNF144A;BMP2K;PLCL1;MBNL2;NFIB;FGF12;MAGI1;PREX1;AUTS2;MAML2;SH3RF3;DCC;NPAS2;FOXP1;FBXL17;MAML3;PLCL2;NFIA;AGAP1;CELF2;PDE4D;CRIM1;SPRED2;FARP1;ZFPM2;FOXP2;ZNF521;PDE4B;RALB;EHBP1;RANBP17;ZEB2;SCMH1;RORA;ROBO1;GRIN2A;RAPGEF4;SAMD12;FOXN3;SHANK3;MSRA;RGS6;L3MBTL3;CD47;VWA8;PRKN;KLHL29;CCDC85A;MCM9;BACE2;ZNF423;MEIS2;DENND5B;SPATS2L;DUSP6;KDM4C;CAMTA1;FOXO3;PURG;ACVR2A;NEDD4L;KAT2B;TLE4;PRKCA;MDFIC;ASXL3	GCST006568	PMID:30038396	0.9241132580591092
EFO_0005670	0.1198927068292901	EFO_0005670	biological process	0	Age of smoking initiation (MTAG)	AUTS2;DCC;FOXP1;FBXL17;MAML3;PLCL2;CTTNBP2;FOXP2;PDE4B;ZEB2;GRIN2A;DNAJC1;MAP2K5;IQCJ-SCHIP1;ZNF423	GCST007462	PMID:30643251	0.9212072345836384
EFO_0005670	0.1201834720828101	EFO_0005670	biological process	38	Age of smoking initiation (MTAG)	MAML3;ZEB2;PCDH9;AUTS2;FOXP1;MDFIC;ARID5B;PCDH7;FBXL17;NPAS3;EFNA5;SEMA6D	GCST007462	PMID:30643251	0.920155253437913
GO_0036273	0.122242227410829	GO_0036273	biological process	0	Statin medication	RP1;TMEM255B;ABCA1;HMGCR;CCDC93;PIR	FINNGEN_R6_RX_STATIN		0.9127787452914652
EFO_0005422	0.1251520892436676	EFO_0005422	biological process	19	Facial ageing	TRPS1;MFAP4;ZEB2;ZBTB20	NEALE2_1757		0.9025618960403949
EFO_0005422	0.1263011587262268	EFO_0005422	biological process	14	Facial ageing	ARL15;ZBTB20;TRPS1;ZEB2	NEALE2_1757		0.8985926650733475
EFO_0004337	0.1284693393088959	EFO_0004337	biological process	19	General cognitive ability	ADAMTS9;PRKD1;NAV2;FOXO3;GADD45G;FOXN3;EXT1;SLC22A23;PURG	GCST006269	PMID:29844566	0.8912005093584645
EFO_0008579	0.1287505905990394	EFO_0008579	biological process	19	General risk tolerance (MTAG)	SEMA6D;MPPED2;PRTG;SCMH1;GJA1;GATA4;AKT3;BACH2;ACVR2A;ZEB2;TSHZ2;FOXN3;STAG1;PCDH7;ZBTB20;FAM78B;CDK19;ATG10;SDCCAG8;PTN;AUTS2;BDNF;SORCS3;KIAA1328;DPYD;ARHGAP28	GCST007325	PMID:30643258	0.8902507701056799
EFO_0004318	0.1290184489706047	EFO_0004318	biological process	0	Smoking status (ever vs never smokers)	KLF7;PLXNA2;DCC;FBXL17;MAML3;RASGRF2;CTTNBP2;PDE4B;RANBP17;ZEB2;ASCC3;MSRA;DNAJC1;REV3L	GCST007327	PMID:30643258	0.8893481833965233
EFO_0008579	0.1336535246619464	EFO_0008579	biological process	38	General risk tolerance (MTAG)	GATA4;MSRB3;CDH13;ZEB2;EBF1;AUTS2;FOXP1;AKT3;SCMH1;RGS6;PCDH7;NFIA;ZBTB20;MPPED2;STAG1;SPRY2;EPHA5;SEMA6D;CDK19;PPP1R3B;XKR6;KIAA1328;RARB;GJA1	GCST007325	PMID:30643258	0.874019583700937
EFO_0004875	0.1348141777356932	EFO_0004875	biological process	19	Highest math class taken (MTAG) [MTAG]	ALCAM;NTM;NCAM1;MAML3;BRINP1;SEMA6D;TENM4;GLI3;PCDH17;MEIS2;DLG2;SPRED2;PTCH1;SATB2;SCMH1;PLXNA4;DENND5B;ZNF521;FOXO3;BCL11B;THSD7A;DGKB;ROBO2;WWOX;ZNF423;TCF7L2;POU6F2;PRKCA;ACVR2A;ZNF804A;ZEB2;APBA1;ASTN2;GADD45G;FOXN3;EFNA5;PRKN;KCNJ6;PLCB1;PCDH7;FBXL17;EXT1;SLC22A23;FAM78B;ZSWIM6;NTRK2;CPNE4;TLE4;ROBO1;RORA;PURG;KDM4C;MSI2;PLXDC2;EHBP1;KIAA0825;AUTS2;MYO16;LINGO1;BDNF;SORCS3;MDFIC;RANBP17;VWA8;DPYD;GULP1;SPATS2L;ETV1;ZFHX4;AGAP1	GCST006568	PMID:30038396	0.870264432811091
GO_0036273	0.1348886487186382	GO_0036273	biological process	38	Statin medication	LIPG;ABO;CDKN2B;ABCA1;TCF7L2;PPP1R3B;CCDC93;RGS2	FINNGEN_R6_RX_STATIN		0.8700245959639799
EFO_0004337	0.1366934841771882	EFO_0004337	biological process	0	General cognitive ability	MEF2C;DCC;FOXP1;PLCL2;PDE4D;FOXN3;CCDC85A;FOXO3;PURG;PRKD1	GCST006269	PMID:29844566	0.8642521866270234
GO_0036273	0.1403194691527612	GO_0036273	biological process	14	Statin medication	NPFFR2;ABCA1;ZFPM1;BCAM;HMGCR;LDLR;TCF7L2;CCDC93;INSIG2	FINNGEN_R6_RX_STATIN		0.8528820669687889
EFO_0004318	0.1408045977011494	EFO_0004318	biological process	18	Smoking status (ever vs never smokers)	ESRRG;PDE4B;PCDH7;NCAM1;FBXL17;SORL1;KLF7;GALNTL6;FAM168A;DNAJC1;PCDH9;RARB;ASCC3;ZEB2;SDK1;LAMA2;MSRA;RANBP17;REV3L	GCST007327	PMID:30643258	0.8513831639180673
EFO_0005670	0.1413238771944933	EFO_0005670	biological process	14	Age of smoking initiation (MTAG)	SEMA6D;LRRC4C;AUTS2;DNAJC1;KCNJ3;PCDH7;FOXP1;FBXL17;PCDH9;IMMP2L;ZBTB16;ZEB2;BCL11B;ZNF423;FOXP2;MAP2K5;NPAS3;SORCS3;NTM;EFNA5;MDFIC	GCST007462	PMID:30643251	0.8497844562847755
EFO_0004318	0.141626299323847	EFO_0004318	biological process	39	Smoking status (ever vs never smokers)	SDK1;HS6ST3;NAV2;SEMA6D;FOXO3;REV3L;DLX6;KCNJ3;BDNF;BRINP1;SORL1;GALNT17;DNAJC1;RASGRF2;RANBP17;FBXL17	GCST007327	PMID:30643258	0.8488560927572244
EFO_0004318	0.1427947578582679	EFO_0004318	biological process	38	Smoking status (ever vs never smokers)	PLPPR5;MAML3;ZEB2;PCDH9;ARID5B;PCDH7;FBXL17;GRID1;EFNA5;SEMA6D;FAM168A;RANBP17;FOXO3;TMEM63C;RARB	GCST007327	PMID:30643258	0.8452877356621964
EFO_0004875	0.1429678689306666	EFO_0004875	biological process	34	Highest math class taken (MTAG) [MTAG]	PTCH1;CNTNAP4;AUTS2;MAML3;NTM;ROBO2;GRIN2A;NOVA1;CDH2;LSAMP;ZNF521;NCAM1;TENM4;CDH7;MDFIC;PRKN;DLG2;ST6GAL2;SLC22A23;SPATS2L;WWOX;PDE4D;ZEB2;ROBO1;SYT1;FOXP2;DPH6;TLE4;ZNF423;EXT1;PLXDC2;HMGA2;ZNF804A;ACVR2A;HNMT;RORA;THSD7A;FBXL17;CTNNA3;MSI2;CNTN5;SNRNP200;FOXP1;GULP1;KAT2B;FAT3;KCNJ6;DIO3;NCAM2;MAGI1;PLCB1;FOXN3;KDM4C;GRIN3A;KHDRBS3;AGAP1;FAM53B;SATB2;POU6F2;EHBP1;ZNF608;AP3B2	GCST006568	PMID:30038396	0.8447615563395852
EFO_0004318	0.1430823721658748	EFO_0004318	biological process	41	Smoking status (ever vs never smokers)	PCDH7;ZEB2;RUNX1T1;PLPPR5;SEMA6D;SDK1;NCAM1;GRID1;RARB;FBXL17;FOXO3;MAML3;EFNA5;ARID5B;RANBP17;BDNF;EPHA7;DCC;REV3L;DNAJC1	GCST007327	PMID:30643258	0.8444138682853721
EFO_0004318	0.1431263130854411	EFO_0004318	biological process	14	Smoking status (ever vs never smokers)	SEMA6D;HS6ST3;LRRC4C;DNAJC1;KCNJ3;PCDH7;REV3L;FBXL17;FOXO3;PCDH9;ZEB2;FAM168A;SORL1;CNTNAP4;GALNTL6;RANBP17;NTM;EFNA5	GCST007327	PMID:30643258	0.844280515944715
EFO_0004337	0.1439	EFO_0004337	biological process	18	General cognitive ability	ADAMTS9;EXT1;KCNH7;PDE4D;DPP4;FOXN3;LARGE1;PRKD1;SYT1;NMNAT2;ERLIN1;AKAP6	GCST006269	PMID:29844566	0.8419392060633948
EFO_0004337	0.1443195058503456	EFO_0004337	biological process	37	General cognitive ability	NAV2;FOXP1;FOXO3;EXT1;PURG;AFF3;LARGE1;NEGR1;AKAP6;CACNA1E;PTPRF;FOXN3	GCST006269	PMID:29844566	0.8406749668228898
EFO_0004875	0.1443985388599938	EFO_0004875	biological process	38	Highest math class taken (MTAG) [MTAG]	ALCAM;LSAMP;CDH2;DLG2;MAML2;HMGA2;EGFLAM;MAML3;ERBB4;ZEB2;ASTN2;PCDH9;PCDH17;PRR16;CAMK1D;AGAP1;AUTS2;ETV1;ASXL3;FOXP1;MSI2;ZNF521;DUSP6;SPRED2;MDFIC;FAT3;EXT1;SCMH1;RGS6;CNTNAP5;PCDH7;FBXL17;NFIA;MEIS2;ZNF608;MBNL2;PLXNB2;DGKB;GRID1;EPHA5;EFNA5;CRIM1;SEMA6D;TLE4;GLI3;FARP1;TCF7L2;PLXDC2;MYO16;SPATS2L;HNMT;RANBP17;FOXO3;ARAP1;L3MBTL3;MCM9;DENND5B;GLIS3;TMEM63C;RARB;EHBP1;ASIC2;GULP1;PLCB1;CAMTA1;SNRNP200;ADCY2	GCST006568	PMID:30038396	0.8404372012833636
EFO_0004318	0.147511787770688	EFO_0004318	biological process	34	Smoking status (ever vs never smokers)	CNTNAP4;MAML3;NTM;NCAM1;DNAJC1;PLPPR5;ARID5B;REV3L;ZEB2;FAM168A;FBXL17	GCST007327	PMID:30643258	0.8311732735216669
EFO_0004319	0.1492315959639487	EFO_0004319	biological process	41	Smoking cessation (MTAG)	SOX6;SEMA6D;TMTC2;NCAM1;FOXP1	GCST007464	PMID:30643251	0.8261392164072174
GO_0006306	0.1492691410966696	GO_0006306	biological process	0	DNA methylation variation (age effect)	PTPRM;FYN;BCL2;PDE8A;NR5A2;SVIL;PITPNC1;NFIA;DACH1;PARD3B;ENTPD1;MTHFD1L;ABCA1;IPCEF1;WDR27;ZNF423	GCST006660	PMID:30348214	0.8260299661305879
EFO_0008579	0.1524368823744757	EFO_0008579	biological process	14	General risk tolerance (MTAG)	SNTG1;SEMA6D;LRRC4C;PRTG;AUTS2;ZBTB20;PCDH7;FOXP1;XKR6;PARP8;SCMH1;AKT3;ZEB2;TBC1D32;FOXN3;DPYD;CDK19;SDCCAG8;TSHZ2;ATG10;STAG1;RGS6;FOXP2;CAMKMT;SORCS3;PRKCZ;KIAA1328;CA10;MACROD2;MPPED2;GRM8;ACVR2A;INPP4B;IPO11;GABRB1	GCST007325	PMID:30643258	0.8169099419610575
EFO_0004875	0.1528235294117647	EFO_0004875	biological process	13	Highest math class taken (MTAG) [MTAG]	PDE4B;ZNF521;MEF2C;MAML2;ZEB2;PCDH17;ZSWIM6;CRIM1;FOXO3;KALRN;RUNX1T1;GRIN3A;HMGA2;FAM222A;NPY1R;PDE1C;BMP2K;PLCL2;MSI2;RORA;PLCL1;SH3RF3;ZNF536;SHANK3;CD40;ZAP70;MBNL2;ASTN1;RAPGEF4;SDK1;PRKN;BRINP1;FBXL17;DIAPH3;SCMH1;RGS6;PDE4D;FARP1;TCF7L2;AGAP1;WWOX;MDFIC;SNRNP200;SLC16A7;ROBO1;NFIA;ZFPM2;LRRN2;KHDRBS3;RALB;SGCZ;ASTN2;AKAP6;B3GLCT;FOXN3;TLE4;MSRA;L3MBTL3;CD47;MAST4;FOXP1;ARAP1	GCST006568	PMID:30038396	0.8158097746412649
EFO_0004875	0.1542586206896551	EFO_0004875	biological process	18	Highest math class taken (MTAG) [MTAG]	PCDH17;ASTN2;SPRED2;DLG2;PDE4B;MAML2;EXT1;AUTS2;DUSP6;PDE4D;HMGA2;GABRA4;PCDH7;NOX3;PLCL1;MSI2;NCAM1;KCNJ6;FAM222A;ZNF423;HS3ST5;FBXL17;FARP1;TLE4;PDE1C;RORA;DIAPH3;PLCB1;ZNF521;MDFIC;FOXN3;WWOX;LONRF2;L3MBTL3;EPHA5;SCMH1;HNMT;GLI3;LARGE1;DENND5B;PCDH9;NFIA;LRRN2;HABP4;RARB;KIRREL3;SH3RF3;CAMTA1;ROBO1;PLXDC2;GRM3;RGS7BP;CPNE4;EHBP1;MCM9;ZSWIM6;ZEB2;SDK1;VWA8;SYT1;THSD7A;CACNG7;MSRA;ASTN1;NR4A2;DPH6;SLC16A7;RANBP17;MYO16;MEIS2;GRM8;GRK4;CRIM1;ARAP1;AKAP6;CD47	GCST006568	PMID:30038396	0.8117505562196369
EFO_0004337	0.1544818181818182	EFO_0004337	biological process	13	General cognitive ability	MEF2C;ADAMTS9;FOXO3;PLCL2;DPP4;PDE4D;SGCZ;AKAP6;FOXN3;FOXP1;KCNH7;LARGE1;ERLIN1;PRKD1	GCST006269	PMID:29844566	0.8111226277470205
GO_0006306	0.1549054724803237	GO_0006306	biological process	34	DNA methylation variation (age effect)	LRFN5;MME;TENM4;CDH10;LRRTM4;ADGRL2;CDH11;ZNF423;FHIT;ATP9A;EYA1;PLCB1;CHRNA10;WDR27	GCST006660	PMID:30348214	0.809933239270974
GO_0006306	0.1549747551200775	GO_0006306	biological process	14	DNA methylation variation (age effect)	LRP1B;LRRTM4;LRFN5;ADGRL2;ABCA1;FHIT;GPRIN3;CDH10;DPYD;ARHGAP42;WDR27;ZNF423;TENM4;FRY;PARD3B;KCNMA1;PITPNC1;ATP9A;PTPRM;DACH1;PLCB1;OVOL2	GCST006660	PMID:30348214	0.8097390412166412
GO_0006306	0.1552358490566037	GO_0006306	biological process	18	DNA methylation variation (age effect)	MME;STC1;FREM1;LRFN5;PDE8A;ZNF423;FYN;KCNMA1;PLCB1;CDH11;NFIA;CTNND2;WDR27;ABCA1;ARHGAP42	GCST006660	PMID:30348214	0.809007978634378
EFO_0004337	0.1567764383159478	EFO_0004337	biological process	14	General cognitive ability	PRKD1;DCDC2;SYT1;FOXP1;PTPRF;FOXO3;FOXN3;LARGE1	GCST006269	PMID:29844566	0.8047192061812907
GO_0036273	0.1585007270675553	GO_0036273	biological process	24	Statin medication	PCSK9;HMGCR;CCND2;CCDC93;LDLR;PIR	FINNGEN_R6_RX_STATIN		0.7999687412651382
GO_0006306	0.1588428339000106	GO_0006306	biological process	19	DNA methylation variation (age effect)	CDH11;LRP1B;TENM4;LRRTM4;ARHGAP42;SVIL;PLXNA4;ZNF423;FYN;FREM1;PLCB1;WDR27;FHIT;ABCA1;PDE8A;LRFN5;CDH10;FRY;DPYD;PITPNC1	GCST006660	PMID:30348214	0.7990323733321663
EFO_0005670	0.1594237237615588	EFO_0005670	biological process	41	Age of smoking initiation (MTAG)	PCDH7;ZEB2;RUNX1T1;SEMA6D;SDK1;NCAM1;FOXP1;AUTS2;FBXL17;NPAS3;MAML3;EFNA5;ARID5B;MDFIC;FOXP2;BDNF;IMMP2L;DCC;MFSD4B;DNAJC1;MAP2K5;LONRF2	GCST007462	PMID:30643251	0.7974470509945014
EFO_0004875	0.1611614785456747	EFO_0004875	biological process	14	Highest math class taken (MTAG) [MTAG]	NOL4;SEMA6D;ROBO2;RORA;LRRC4C;DLG2;AUTS2;ZNF385D;GULP1;CNTN5;ALCAM;FAT3;ZFPM2;SYT1;KCNJ3;DGKB;ETV1;GLI3;CRTAC1;PRKCA;THSD7A;WWOX;PCDH7;FOXP1;FBXL17;ZNF521;SPATS2L;FOXO3;PCDH9;HMGA2;SCMH1;MAGI1;ROBO1;ZEB2;APBA1;KAT2B;PLXDC2;PRKN;FOXN3;DPYD;CTNNA3;NOVA1;BCL11B;DPH6;CDH7;KDM4C;GRIN3A;LSAMP;ZNF423;TENM4;UNC79;RGS6;FOXP2;LARGE1;CNTNAP4;ZSWIM6;EHBP1;HS3ST5;RANBP17;AGAP1;TLE4;SORCS3;NTM;EFNA5;ZNF608;SATB2;MDFIC;CDH2;HABP4;GRIK4;NEDD4L;BMP2K;SLC16A7;EXT1;L3MBTL3;MBNL2;MSRA	GCST006568	PMID:30038396	0.792738756912338
GO_0036273	0.1690613800816646	GO_0036273	biological process	39	Statin medication	MAFB;NPFFR2;TCF7L2;BCAM	FINNGEN_R6_RX_STATIN		0.7719555901136793
EFO_0005670	0.1691235028112811	EFO_0005670	biological process	39	Age of smoking initiation (MTAG)	SDK1;SEMA6D;FOXP1;IMMP2L;BCL11B;KCNJ3;BDNF;DNAJC1;FBXL17;ZNF423;LONRF2;RUNX1T1;MFSD4B	GCST007462	PMID:30643251	0.7717960350280357
GO_0006306	0.1698141484000583	GO_0006306	biological process	9	DNA methylation variation (age effect)	PITPNC1;ABCA1;FYN;GPRIN3;GAP43;PARD3B;PTPRM;CREB5;PDE8A;MTUS2;WDR27;ATP9A;SVIL;MTHFD1L	GCST006660	PMID:30348214	0.7700261284849259
EFO_0004319	0.1702208599048792	EFO_0004319	biological process	39	Smoking cessation (MTAG)	PTPRF;SEMA6D;FOXP1;SGCD;PDE1C;TMTC2;XYLT1	GCST007464	PMID:30643251	0.768987219889117
EFO_0005422	0.1712917818465992	EFO_0005422	biological process	22	Facial ageing	ARL15;DOCK8;ZEB2	NEALE2_1757		0.7662634729030842
EFO_0004337	0.1726622821235827	EFO_0004337	biological process	22	General cognitive ability	DLL4;DCC;MEF2C;NAV2;EXT1;SLC22A23;FOXP1;FOXO3;PLCL2;GADD45G	GCST006269	PMID:29844566	0.762802523200553
EFO_0008579	0.1744389345835263	EFO_0008579	biological process	41	General risk tolerance (MTAG)	CACNA1C;PCDH7;GATA4;ZEB2;MSRB3;SCMH1;RUNX1T1;SEMA6D;BACH2;AKT3;FOXP1;AUTS2;RARB;STAG1;SPRY2;MPPED2;ZBTB20;INPP4B;PRTG;FOXP2;BDNF;PARP8	GCST007325	PMID:30643258	0.7583565745204438
EFO_0005422	0.1747736622516234	EFO_0005422	biological process	39	Facial ageing	SLC39A8;ARL15;ZBTB20;BNC2	NEALE2_1757		0.7575240133526469
EFO_0004319	0.1761612903225806	EFO_0004319	biological process	18	Smoking cessation (MTAG)	PDE4B;NCAM1;PDE1C;HCN1	GCST007464	PMID:30643251	0.7540895172987294
EFO_0005422	0.1770385794618706	EFO_0005422	biological process	41	Facial ageing	ZEB2;SLC39A8;ZBTB20;BNC2;JAZF1;TRPS1;RUNX2	NEALE2_1757		0.7519320837980715
EFO_0005422	0.1787655259077011	EFO_0005422	biological process	34	Facial ageing	ZBTB20;ZEB2;FMN1;PAX3;TRPS1;ARL15	NEALE2_1757		0.7477162291172395
EFO_0004318	0.1793088392835016	EFO_0004318	biological process	22	Smoking status (ever vs never smokers)	RASGRF2;PDE4B;DCC;PLXNA2;MAML3;ZEB2;NAV2;EPHA7;SLC14A2;RANBP17;FBXL17;FOXO3;MSRA;HS6ST3;CPXM2;EFNA5	GCST007327	PMID:30643258	0.746398300747765
EFO_0004875	0.1794885220135983	EFO_0004875	biological process	41	Highest math class taken (MTAG) [MTAG]	KCNIP4;CACNA1C;PCDH7;MEIS2;ZFPM2;LSAMP;ERBB4;EXT1;ZEB2;SCMH1;ALCAM;PCDH17;CDH2;DLG2;DENND5B;PRR16;ASXL3;GLCCI1;HMGA2;RUNX1T1;SEMA6D;TENM4;ZNF608;GULP1;SDK1;GLI3;NCAM1;SPATS2L;GRID1;FOXP1;AUTS2;KCNH1;RORA;RARB;ETV1;FBXL17;ZNF521;MBNL2;ASTN2;FOXO3;MAML3;KALRN;EFNA5;MYO18B;THSD7A;PURG;DIAPH3;RANBP17;PLCB1;PRKCA;SLC16A12;WWOX;VWA8;GABRB2;SPRED2;MDFIC;FOXP2;BDNF;CAMTA1;LARGE1;DPH6;TLE4;EYS;TCF7L2;DUSP6;PRKN;FARP1;NOVA1;DPYD;AGAP1;DCC;GRK4;MCM9;ZNF804A	GCST006568	PMID:30038396	0.7459633185928476
GO_0006306	0.180030303030303	GO_0006306	biological process	13	DNA methylation variation (age effect)	IPCEF1;PTPRM;PARD3B;SVIL;BCL2;FYN;ENTPD1;CREB5;DACH1;MTHFD1L;CDH11;NOS1AP;PDE8A;TNR;NFIA;GFRA2;FHIT;HMGB1;RAB3C;MME	GCST006660	PMID:30348214	0.7446543875012005
GO_0036273	0.1810820895522388	GO_0036273	biological process	18	Statin medication	HMGCR;LDLR;LIPG;PIR;ST3GAL4;ABCA1	FINNGEN_R6_RX_STATIN		0.7421245027135033
EFO_0005670	0.1812110667546033	EFO_0005670	biological process	50	Age of smoking initiation (MTAG)	DLK1;MAML3;CA10;EFNA5;ELAVL2;ARID5B;LONRF2;AUTS2;IMMP2L;FBXL17;TLR4;PCDH9;PDE4B;FOXP1;SEMA6D	GCST007462	PMID:30643251	0.7418152830185161
EFO_0004319	0.1825891793617955	EFO_0004319	biological process	38	Smoking cessation (MTAG)	FOXP1;SOX6;SEMA6D	GCST007464	PMID:30643251	0.7385249632897093
EFO_0008579	0.1834838925166893	EFO_0008579	biological process	34	General risk tolerance (MTAG)	AUTS2;GRIN2A;PRTG;PTN;TSHZ2;ZBTB20;PPP1R3B;ZEB2;FOXP2;TRPC6;CDK19;ACVR2A;ATG10;TBC1D32;AKT3;SDCCAG8;FOXP1;STAG1;FOXN3;ARHGAP28;KIAA1328;CAMKMT;SNTG1	GCST007325	PMID:30643258	0.7364020551075979
EFO_0004337	0.1845985200680076	EFO_0004337	biological process	41	General cognitive ability	EXT1;FOXP1;SLC39A8;FOXO3;PURG;LARGE1;DCC	GCST006269	PMID:29844566	0.7337717850483205
GO_0036273	0.1866396696988526	GO_0036273	biological process	50	Statin medication	ST3GAL4;TCF7L2;CDKN2B;CCDC93;ABCA1;PPP1R3B;CCND2	FINNGEN_R6_RX_STATIN		0.7289960427960259
EFO_0008579	0.1881314848235495	EFO_0008579	biological process	23	General risk tolerance (MTAG)	RASGRF2;PLXNA2;CDH13;AUTS2;ZEB2;AKT3;MSR1;MSRB3;ZBTB20;SDCCAG8;XKR6;CD34;BACH2;FOXP1;GJA1;HIVEP3;STK32C;MACROD2;FOXP2;CDK19;SCMH1;STAG1;TSHZ2;PPP1R3B;IPO11;RP1L1;TSHZ3;B3GLCT;KIAA1328	GCST007325	PMID:30643258	0.7255385168319457
EFO_0004318	0.1895393309849339	EFO_0004318	biological process	19	Smoking status (ever vs never smokers)	NTM;NCAM1;MAML3;BRINP1;SEMA6D;NAV2;EPHA7;PLXNA4;FOXO3;LAMA2;POU6F2;REV3L;ZEB2;PLPPR5;EFNA5;PCDH7;FBXL17;ASCC3;HS6ST3;DNAJC1	GCST007327	PMID:30643258	0.7223006566333573
GO_0036273	0.1927948717948717	GO_0036273	biological process	13	Statin medication	HHEX;LDLR;ZFPM1;PIR;HMGCR;CCDC93;TCF7L2;LIPG;INSIG2	FINNGEN_R6_RX_STATIN		0.7149045222008713
EFO_0005670	0.1932325420063839	EFO_0005670	biological process	37	Age of smoking initiation (MTAG)	FOXP2;PCDH7;MAML3;SEMA6D;AUTS2;BCL11B;FOXP1;RUNX1T1;EFNA5;KCNJ3;NPAS3;LRRC4C;ZEB2;SDK1;ARID5B;IMMP2L;SORCS3;FBXL17;CA10;IQCJ-SCHIP1;PCDH9	GCST007462	PMID:30643251	0.7139197328703565
