term	adj_pval	trait_efos	trait_category	program_name	enrichment	trait_reported	genes	study_id	pmid	-log10(adj_pval)
EFO_0004337	0.4333398451682543	EFO_0004337	biological process	47	2.171099916312499	General cognitive ability	ADAMTS9;MEF2C;FOXP1;EXT1	GCST006269	PMID:29844566	0.3631713761834616
EFO_0004319	0.43979819116938174	EFO_0004319	biological process	18	2.3687402253359293	Smoking cessation (MTAG)	PDE4B;CHRNA3	GCST007464	PMID:30643251	0.35674656116615994
GO_0036273	0.4405924681337692	GO_0036273	biological process	37	2.3681679756371214	Statin medication	RGS2;IRF2BP2;PIR	FINNGEN_R6_RX_STATIN		0.3559629313248367
EFO_0009105	0.4440293767528158	EFO_0009105	biological process	2	17.509941520467837	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.3525882962376366
EFO_0003940	0.44491732144496404	EFO_0003940	biological process	21	15.695440306300036	Number of days/week of moderate physical activity 10+ minutes	CTNNB1	NEALE2_884		0.35172068604442547
EFO_0009473	0.447860999633626	EFO_0009473	biological process	47	6.307441530829199	hemolysis of donated blood (osmotic)	SWAP70	GCST012135	PMID:34014839	0.3488567548836532
EFO_0003940	0.4487116741824952	EFO_0003940	biological process	23	26.63711098062243	Number of days/week of moderate physical activity 10+ minutes	APOE	NEALE2_884		0.3480326312311691
EFO_0005422	0.45753424331084075	EFO_0005422	biological process	37	2.998624762367027	Facial ageing	BNC2;EFEMP1	NEALE2_1757		0.3395763964075777
EFO_0004318	0.4648383316940833	EFO_0004318	biological process	18	1.7584903733210766	Smoking status (ever vs never smokers)	PDE4B;IGFBPL1;KLF7	GCST007327	PMID:30643258	0.33269806616674136
EFO_0005670	0.4656981781988119	EFO_0005670	biological process	21	2.5628773503536313	Age of smoking initiation (MTAG)	PDE4B;TLR4;BDNF	GCST007462	PMID:30643251	0.33189546101455386
EFO_0009105	0.46750771967802335	EFO_0009105	biological process	19	19.00253485424588	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.33021121348475196
EFO_0009105	0.46893359310310045	EFO_0009105	biological process	50	13.373764600179694	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.3288886544935551
EFO_0004329	0.46985611169412383	EFO_0004329	biological process	16	16.914893617021278	Frequency of needing morning drink of alcohol after heavy drinking session in last year	EPS8	NEALE2_20412		0.3280351196487513
EFO_0008579	0.4702076230684581	EFO_0008579	biological process	50	1.819867917836843	General risk tolerance (MTAG)	TCF4;GJA1;STK24;PLXNA2;CDH13;CTSB	GCST007325	PMID:30643258	0.3277103343141633
GO_0036273	0.47032890960264656	GO_0036273	biological process	47	2.108344067554029	Statin medication	PIR;LIPG;MYLIP	FINNGEN_R6_RX_STATIN		0.32759832575098796
GO_0036273	0.4704754312974235	GO_0036273	biological process	16	4.46013437184137	Statin medication	GLTPD2;FAM90A1	FINNGEN_R6_RX_STATIN		0.32746305094140465
GO_0044691	0.4715497517478571	GO_0044691	biological process	2	14.324401913875597	Primary tooth development (time to first tooth eruption)	BMP4	GCST002030	PMID:23704328	0.3264724794490698
GO_0036273	0.47792807385588376	GO_0036273	biological process	31	3.0664602683178535	Statin medication	GAS6;VEGFA;PPP1R3B	FINNGEN_R6_RX_STATIN		0.32063745794416526
EFO_0008579	0.4800704278677626	EFO_0008579	biological process	35	1.431615120274914	General risk tolerance (MTAG)	TCF4;SDCCAG8;GJA1;RGS17;SPRY2	GCST007325	PMID:30643258	0.3186950455605213
EFO_0004333	0.48061363972697546	EFO_0004333	biological process	14	31.302439024390242	Episodic memory (pairs-matching)	EML6	GCST90011295	PMID:32895543	0.318203908159453
EFO_0004875	0.48147588014010895	EFO_0004875	biological process	21	1.4692453097895986	Highest math class taken (MTAG) [MTAG]	SRGAP3;TCF4;CRTAC1;ARAP3;GRIN3A;PHIP;BDNF;PDE4B;PFKM;RORB;CTNNB1	GCST006568	PMID:30038396	0.31742546427034957
EFO_0004330	0.4826504822732698	EFO_0004330	biological process	37	5.7269926838659995	Ground coffee (include espresso, filter etc) | coffee type	CDH13	NEALE2_1508_3		0.31636725551859607
EFO_0005670	0.48583641850146175	EFO_0005670	biological process	47	1.7443335756294192	Age of smoking initiation (MTAG)	ZEB2;FOXP1;CREB3L1;NR2F2	GCST007462	PMID:30643251	0.313509933414361
GO_0042476	0.4892951764373907	GO_0042476	biological process	50	7.0764230220390045	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.31042906557451916
EFO_0004330	0.49598848802896794	EFO_0004330	biological process	31	7.392486406327237	Ground coffee (include espresso, filter etc) | coffee type	CDH13	NEALE2_1508_3		0.30452840343624443
EFO_0008579	0.4965569235325598	EFO_0008579	biological process	25	2.102542690125839	General risk tolerance (MTAG)	TCF4;CYLD;YWHAZ;CD34;PLXNA2;CDH13;CTSB	GCST007325	PMID:30643258	0.3040309583286606
EFO_0005670	0.5070054884760047	EFO_0005670	biological process	32	3.075141339081438	Age of smoking initiation (MTAG)	SAMD8;EFNA5;FOXP1;ZNF652;RSRC1	GCST007462	PMID:30643251	0.2949873392821646
EFO_0004329	0.5126741073825491	EFO_0004329	biological process	50	6.330685203574975	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.29015861605841325
EFO_0004337	0.5147968304128713	EFO_0004337	biological process	37	1.8622624826316834	General cognitive ability	FOXP1;AFF3;PTPRF	GCST006269	PMID:29844566	0.28836413569623975
EFO_0004318	0.5306622803470501	EFO_0004318	biological process	14	1.999748981443936	Smoking status (ever vs never smokers)	TANK;ZEB2;REV3L	GCST007327	PMID:30643258	0.27518178107104907
EFO_0004330	0.5329425297755623	EFO_0004330	biological process	50	5.7269926838659995	Ground coffee (include espresso, filter etc) | coffee type	CDH13	NEALE2_1508_3		0.2733196208928165
EFO_0004319	0.5365561950655079	EFO_0004319	biological process	37	2.0670242784902078	Smoking cessation (MTAG)	FOXP1;PTPRF	GCST007464	PMID:30643251	0.27038478641228536
EFO_0004329	0.5366383776973942	EFO_0004329	biological process	2	8.288642659279779	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.2703182719804906
EFO_0004319	0.5403933189913602	EFO_0004319	biological process	36	2.00029764320697	Smoking cessation (MTAG)	RBMS1;SRPK2	GCST007464	PMID:30643251	0.2672900289007876
EFO_0005670	0.5437522299940725	EFO_0005670	biological process	35	1.4131256615756842	Age of smoking initiation (MTAG)	NTM;NLGN1;FGFR1	GCST007462	PMID:30643251	0.26459894893912794
EFO_0004354	0.5455817109164397	EFO_0004354	biological process	34	24.966832504145938	Chronotype	EXD3	GCST003837	PMID:27494321	0.2631401966015749
GO_0044691	0.5518923711137843	GO_0044691	biological process	34	20.4246947082768	Primary tooth development (time to first tooth eruption)	HMGA2	GCST002030	PMID:23704328	0.25814560920722374
EFO_0004318	0.5521547998264437	EFO_0004318	biological process	24	2.223529411764706	Smoking status (ever vs never smokers)	CPXM2;OLFM1;ASCC3	GCST007327	PMID:30643258	0.2579391482027536
EFO_0004329	0.5521547998264437	EFO_0004329	biological process	24	9.136557610241821	Frequency of needing morning drink of alcohol after heavy drinking session in last year	EPS8	NEALE2_20412		0.2579391482027536
GO_0044691	0.5559461016898749	GO_0044691	biological process	32	13.734618916437098	Primary tooth development (time to first tooth eruption)	KCNJ2	GCST002030	PMID:23704328	0.2549673107080697
EFO_0004875	0.5603524217990129	EFO_0004875	biological process	34	1.6339308858584882	Highest math class taken (MTAG) [MTAG]	NOVA1;PURA;CCDC66;HMGA2;NR2F2;NFIA;CELF2;EXD3;PCDH9;SORBS2;BTN3A2	GCST006568	PMID:30038396	0.25153874673983884
EFO_0005670	0.5603524217990129	EFO_0005670	biological process	34	2.8268682646108743	Age of smoking initiation (MTAG)	PCDH9;MFSD4B;NR2F2	GCST007462	PMID:30643251	0.25153874673983884
EFO_0008579	0.5603524217990129	EFO_0008579	biological process	34	2.326752428458913	General risk tolerance (MTAG)	NFIA;SPRY2;NUDT12;STK32C	GCST007325	PMID:30643258	0.25153874673983884
GO_0042476	0.5603524217990129	GO_0042476	biological process	34	13.210711150131694	Primary tooth development (number of teeth)	HMGA2	GCST002031	PMID:23704328	0.25153874673983884
EFO_0004337	0.5604320635919313	EFO_0004337	biological process	25	2.4129972172204943	General cognitive ability	MYLK;EXT1;CYLD;PTPRF	GCST006269	PMID:29844566	0.25147702570122277
EFO_0009473	0.5604320635919313	EFO_0009473	biological process	25	6.9990588235294116	hemolysis of donated blood (osmotic)	SWAP70	GCST012135	PMID:34014839	0.25147702570122277
GO_0042476	0.5604320635919313	GO_0042476	biological process	25	6.9990588235294116	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.25147702570122277
GO_0042476	0.5607107793277325	GO_0042476	biological process	41	11.57385050089905	Primary tooth development (number of teeth)	MSRB3	GCST002031	PMID:23704328	0.2512610947708581
GO_0044691	0.5607107793277325	GO_0044691	biological process	41	17.894005557761016	Primary tooth development (time to first tooth eruption)	MSRB3	GCST002030	PMID:23704328	0.2512610947708581
EFO_0003940	0.5608459576978113	EFO_0003940	biological process	20	16.77257525083612	Number of days/week of moderate physical activity 10+ minutes	APOE	NEALE2_884		0.25115640596012906
EFO_0008579	0.5608459576978113	EFO_0008579	biological process	20	2.256380214966125	General risk tolerance (MTAG)	CYLD;DIPK2A;OMG;MACROD2	GCST007325	PMID:30643258	0.25115640596012906
EFO_0004329	0.5652565470451727	EFO_0004329	biological process	39	6.127387659749897	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.24775439876743277
GO_0036273	0.5689744987261307	GO_0036273	biological process	35	1.5589397814461754	Statin medication	TRIB1;CDKN2B	FINNGEN_R6_RX_STATIN		0.24490719812287223
EFO_0004354	0.5719094948322343	EFO_0004354	biological process	27	13.52316076294278	Chronotype	RGS16	GCST003837	PMID:27494321	0.24267269324347251
EFO_0005670	0.5719094948322343	EFO_0005670	biological process	27	1.9827356442314892	Age of smoking initiation (MTAG)	NTM;EFNA5;ARID5B;CAPZA2	GCST007462	PMID:30643251	0.24267269324347251
EFO_0004318	0.5723294535240456	EFO_0004318	biological process	37	1.5332856866336118	Smoking status (ever vs never smokers)	TOX;EFNA5;BDNF	GCST007327	PMID:30643258	0.24235390362189507
EFO_0004318	0.5725888754462279	EFO_0004318	biological process	38	2.4746358613761927	Smoking status (ever vs never smokers)	SDK1;PCDH7;MAP3K20;BDNF	GCST007327	PMID:30643258	0.24215709393099258
EFO_0004329	0.5725888754462279	EFO_0004329	biological process	38	7.78686816050026	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.24215709393099258
EFO_0005422	0.5725888754462279	EFO_0005422	biological process	38	3.6929141667079883	Facial ageing	AKAP12;DOCK8	NEALE2_1757		0.24215709393099258
EFO_0005670	0.5725888754462279	EFO_0005670	biological process	38	2.4204750204750205	Age of smoking initiation (MTAG)	SDK1;PCDH7;FOXP1;BDNF	GCST007462	PMID:30643251	0.24215709393099258
EFO_0005670	0.5768061412996045	EFO_0005670	biological process	36	1.4513989812763677	Age of smoking initiation (MTAG)	SAMD8;ZBTB16;NR2F2	GCST007462	PMID:30643251	0.23897012429706824
EFO_0004330	0.5778883061287456	EFO_0004330	biological process	39	5.543080939947781	Ground coffee (include espresso, filter etc) | coffee type	CDH13	NEALE2_1508_3		0.2381560936200357
EFO_0004329	0.5780890639651503	EFO_0004329	biological process	25	6.261473684210526	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.23800524633931627
GO_0036273	0.5825419864393823	GO_0036273	biological process	14	2.154124981876178	Statin medication	CCDC93;VEGFA	FINNGEN_R6_RX_STATIN		0.23467276760357095
EFO_0005670	0.5832925259232346	EFO_0005670	biological process	8	1.5085048714379898	Age of smoking initiation (MTAG)	ZEB2;FGFR1;NR2F2	GCST007462	PMID:30643251	0.23411358840984847
GO_0006306	0.5915519944828983	GO_0006306	biological process	35	1.2075643466026649	DNA methylation variation (age effect)	ATP9A;PLCB1;CD82;SVIL	GCST006660	PMID:30348214	0.22800707702995138
EFO_0003940	0.5924586309522994	EFO_0003940	biological process	32	11.62004662004662	Number of days/week of moderate physical activity 10+ minutes	CTNNB1	NEALE2_884		0.22734196932863146
EFO_0004875	0.5924586309522994	EFO_0004875	biological process	32	1.2679979300477915	Highest math class taken (MTAG) [MTAG]	AGO2;EFNA5;ZNF521;TMEM120B;NFIA;FOXP1;B4GALT1;CD47;MARCKS;NFIB;NOL4L;CRIM1;CTNNB1	GCST006568	PMID:30038396	0.22734196932863146
GO_0042476	0.5924586309522994	GO_0042476	biological process	32	8.883541295306001	Primary tooth development (number of teeth)	KCNJ2	GCST002031	PMID:23704328	0.22734196932863146
EFO_0004318	0.5962923525684665	EFO_0004318	biological process	47	1.3650432770930556	Smoking status (ever vs never smokers)	ZEB2;REV3L;TRIM8	GCST007327	PMID:30643258	0.22454076043224677
EFO_0009105	0.5976732611205913	EFO_0009105	biological process	9	13.373764600179694	High altitude adaptation	EPAS1	GCST006054	PMID:28373541	0.22353617332398673
GO_0042476	0.5976732611205913	GO_0042476	biological process	9	7.0764230220390045	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.22353617332398673
EFO_0008579	0.6043115505731033	EFO_0008579	biological process	21	1.6127938764352105	General risk tolerance (MTAG)	TCF4;ST18;BDNF	GCST007325	PMID:30643258	0.21873910473843586
EFO_0008579	0.6061926293760453	EFO_0008579	biological process	6	1.8610795095436734	General risk tolerance (MTAG)	RASGRF2;SORCS2;OMG;DIPK2A	GCST007325	PMID:30643258	0.2173893484711547
EFO_0009473	0.6074526695455211	EFO_0009473	biological process	48	7.668495969816498	hemolysis of donated blood (osmotic)	PIEZO1	GCST012135	PMID:34014839	0.21648755502345068
GO_0042476	0.6074526695455211	GO_0042476	biological process	48	7.668495969816498	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.21648755502345068
GO_0036273	0.6077444403190722	GO_0036273	biological process	28	1.7312059560321214	Statin medication	LDLR;HMGCR	FINNGEN_R6_RX_STATIN		0.21627900541723422
GO_0036273	0.6104062395918854	GO_0036273	biological process	8	1.663589073794672	Statin medication	NOS3;APOB	FINNGEN_R6_RX_STATIN		0.21438103565855735
EFO_0003940	0.6106645970766588	EFO_0003940	biological process	17	12.475701194112746	Number of days/week of moderate physical activity 10+ minutes	APOE	NEALE2_884		0.2141972572432511
EFO_0009473	0.6106645970766588	EFO_0009473	biological process	17	9.53769377787216	hemolysis of donated blood (osmotic)	HK1	GCST012135	PMID:34014839	0.2141972572432511
EFO_0004337	0.6143519144237537	EFO_0004337	biological process	24	1.8886854352635996	General cognitive ability	NR1D2;CYLD	GCST006269	PMID:29844566	0.2115827840534875
GO_0006306	0.6145575734343254	GO_0006306	biological process	39	1.5353213859020312	DNA methylation variation (age effect)	ABCA1;CD82;GLIS3;PTPRM;ZNF124	GCST006660	PMID:30348214	0.21143742497674303
EFO_0004330	0.6159382828024871	EFO_0004330	biological process	25	5.664380952380952	Ground coffee (include espresso, filter etc) | coffee type	CDH13	NEALE2_1508_3		0.2104628020906553
EFO_0004337	0.619824590711686	EFO_0004337	biological process	31	1.6878458700553391	General cognitive ability	EXT1;PTPRF	GCST006269	PMID:29844566	0.20773119770219095
EFO_0004318	0.624361165092295	EFO_0004318	biological process	21	1.8337652721214366	Smoking status (ever vs never smokers)	PDE4B;BDNF	GCST007327	PMID:30643258	0.20456411763817833
EFO_0005422	0.624361165092295	EFO_0005422	biological process	21	2.9460948258902224	Facial ageing	EFEMP1	NEALE2_1757		0.20456411763817833
EFO_0004329	0.6291779209555438	EFO_0004329	biological process	48	6.860365198711063	Frequency of needing morning drink of alcohol after heavy drinking session in last year	COL5A2	NEALE2_20412		0.20122652599696395
EFO_0004329	0.6294839623240867	EFO_0004329	biological process	52	18.503059975520195	Frequency of needing morning drink of alcohol after heavy drinking session in last year	MRPL36	NEALE2_20412		0.20101533015163453
EFO_0008579	0.6313522544072013	EFO_0008579	biological process	37	1.228753097386507	General risk tolerance (MTAG)	FOXP1;CDH13;HIBADH;BDNF	GCST007325	PMID:30643258	0.19972826443228361
EFO_0004337	0.6320578034706906	EFO_0004337	biological process	27	1.883294109061719	General cognitive ability	FOXN3;SNX29;EXT1	GCST006269	PMID:29844566	0.19924320244480268
EFO_0008579	0.6332358350491021	EFO_0008579	biological process	8	1.2356923250500662	General risk tolerance (MTAG)	RGS17;DLL1;ZEB2;ADAM15	GCST007325	PMID:30643258	0.19843451622958294
GO_0042476	0.6345825503722018	GO_0042476	biological process	7	17.64355278535255	Primary tooth development (number of teeth)	CALU	GCST002031	PMID:23704328	0.19751187421678534
GO_0036273	0.6365578737026517	GO_0036273	biological process	50	1.6543483616654349	Statin medication	RGS2;LIPG	FINNGEN_R6_RX_STATIN		0.19616210562051514
EFO_0004337	0.6371434988695329	EFO_0004337	biological process	14	1.6999197339754615	General cognitive ability	KMT2E;TANK	GCST006269	PMID:29844566	0.1957627438833937
GO_0036273	0.6408984622763425	GO_0036273	biological process	15	1.8044077134986225	Statin medication	NOS3;TRIB1	FINNGEN_R6_RX_STATIN		0.1932107704282601
GO_0036273	0.6421858128835065	GO_0036273	biological process	39	1.6009414112492137	Statin medication	GAS6;ABCA1	FINNGEN_R6_RX_STATIN		0.1923392930617386
EFO_0005422	0.6503881466333565	EFO_0005422	biological process	31	2.242665864299684	Facial ageing	AKAP12	NEALE2_1757		0.18682738238728916
GO_0006306	0.6508372681149165	GO_0006306	biological process	16	1.8729016786570742	DNA methylation variation (age effect)	C2CD4A;ZNF423	GCST006660	PMID:30348214	0.1865275865384217
EFO_0004337	0.6515342978101452	EFO_0004337	biological process	9	1.8622624826316834	General cognitive ability	CSE1L;EXT1;PTPRF	GCST006269	PMID:29844566	0.1860627173917296
EFO_0004319	0.6523012383577254	EFO_0004319	biological process	21	2.049225284519402	Smoking cessation (MTAG)	PDE4B	GCST007464	PMID:30643251	0.18555179699274119
EFO_0005422	0.6551764404335316	EFO_0005422	biological process	35	1.6376811594202898	Facial ageing	KLHL6	NEALE2_1757		0.1836417278130746
EFO_0008579	0.6561893885246257	EFO_0008579	biological process	15	1.3415414395598797	General risk tolerance (MTAG)	YWHAZ;PLXNA2;ADAM15;FOXP1	GCST007325	PMID:30643258	0.182970797025958
EFO_0004337	0.6584054886459949	EFO_0004337	biological process	32	1.641187548465714	General cognitive ability	KMT2E;FOXP1	GCST006269	PMID:29844566	0.18150655738458799
EFO_0005422	0.6593758070841197	EFO_0005422	biological process	14	2.2585971822451145	Facial ageing	ZEB2	NEALE2_1757		0.18086699144008614
EFO_0004319	0.6605016904095629	EFO_0004319	biological process	9	2.0670242784902078	Smoking cessation (MTAG)	BIRC6;PTPRF	GCST007464	PMID:30643251	0.18012606656632624
GO_0006306	0.6634876047336075	GO_0006306	biological process	31	1.2751968259872295	DNA methylation variation (age effect)	CREB5;MAPRE1;DACH1	GCST006660	PMID:30348214	0.1781671862073529
EFO_0005422	0.6679185700520267	EFO_0005422	biological process	20	3.148288174753203	Facial ageing	LOXL1	NEALE2_1757		0.1752764817351316
EFO_0008579	0.6694838692377831	EFO_0008579	biological process	39	1.1886638723169263	General risk tolerance (MTAG)	TCF4;CTSB;CDH13;CD34	GCST007325	PMID:30643258	0.17425988255849262
EFO_0005670	0.6723523278363721	EFO_0005670	biological process	14	1.3727838113803026	Age of smoking initiation (MTAG)	JADE2;ZEB2	GCST007462	PMID:30643251	0.17240308715935357
EFO_0008579	0.6723523278363721	EFO_0008579	biological process	14	1.2311313409594538	General risk tolerance (MTAG)	ACVR2A;ZEB2;STK32C	GCST007325	PMID:30643258	0.17240308715935357
GO_0006306	0.6723523278363721	GO_0006306	biological process	14	1.2843836232191688	DNA methylation variation (age effect)	GPRIN3;SERTAD2;TRIB2	GCST006660	PMID:30348214	0.17240308715935357
EFO_0004318	0.6750934905141733	EFO_0004318	biological process	27	1.5506028993361334	Smoking status (ever vs never smokers)	NTM;EFNA5;ARID5B	GCST007327	PMID:30643258	0.17063607960917135
GO_0042476	0.6768792298759503	GO_0042476	biological process	1	9.752767527675276	Primary tooth development (number of teeth)	ADK	GCST002031	PMID:23704328	0.16948881207892277
GO_0044691	0.6768792298759503	GO_0044691	biological process	1	15.07849714860785	Primary tooth development (time to first tooth eruption)	ADK	GCST002030	PMID:23704328	0.16948881207892277
EFO_0004337	0.6804355073451818	EFO_0004337	biological process	8	1.3127994158608038	General cognitive ability	ADAMTS9;MEF2C	GCST006269	PMID:29844566	0.1672130315648732
EFO_0008579	0.6831265251271139	EFO_0008579	biological process	47	1.0932600115156421	General risk tolerance (MTAG)	TCF4;FOXP1;NFIA;ZEB2	GCST007325	PMID:30643258	0.16549885111273557
GO_0006306	0.6833127465805177	GO_0006306	biological process	48	1.3914801947263378	DNA methylation variation (age effect)	ADGRL2;DDAH1;MAPRE1;IBTK	GCST006660	PMID:30348214	0.1653804778314629
EFO_0004337	0.6853858708870243	EFO_0004337	biological process	2	1.7121642532160095	General cognitive ability	MYLK;NEGR1	GCST006269	PMID:29844566	0.164064852720636
