term	adj_pval	trait_efos	trait_category	program_name	enrichment	trait_reported	genes	study_id	pmid	-log10(adj_pval)
EFO_0005670	1.95701394292717e-05	EFO_0005670	biological process	19	4.8032976464742285	Age of smoking initiation (MTAG)	NPAS3;FBXL17;IMMP2L;PCDH9;KCNJ3;AUTS2;DLK1;CA10;FOXP2;SEMA6D;EFNA5;PCDH7;FOXP1;ARID5B;MAML3;RUNX1T1;BCL11B;LRRC4C	GCST007462	PMID:30643251	4.708406080159699
EFO_0008579	2.2489313919828494e-05	EFO_0008579	biological process	19	3.7846635632670336	General risk tolerance (MTAG)	AUTS2;MSRB3;CDK19;INPP4B;MPPED2;SEMA6D;STAG1;KLHL29;FOXP1;AKT3;CA10;LRRC4C;ZBTB20;HIVEP3;FOXP2;GRIA1;PCDH7;RUNX1T1;CDH13;MAP2;SCMH1;BACH2;RARB	GCST007325	PMID:30643258	4.648023793358388
EFO_0004875	2.388646398915529e-05	EFO_0004875	biological process	7	2.7113451975631913	Highest math class taken (MTAG) [MTAG]	POU6F2;SAMD12;THSD7B;ZNF385D;GABRG3;MAGI1;SDK1;BNIP3;PTPRN2;ROBO2;TCF7L2;LUZP2;RANBP17;SPATS2L;ASIC2;SYT1;FOXP1;CSMD1;OPCML;KIAA0825;PLXDC2;SLC16A12;NRXN1;HS3ST5;DPH6;UNC79;NCAM2;CADM2;CACNA2D3;PLCB1;AP3B2;GSTO2;LRFN2;CTNNA3;GULP1;PRKN;CNTNAP2;NTM;ADCY2;DUSP6;FGF12;SHISA9;GPM6A;BCHE	GCST006568	PMID:30038396	4.6218481358783325
EFO_0008579	5.1710049590742535e-05	EFO_0008579	biological process	1	3.837928507159414	General risk tolerance (MTAG)	SAMD12;AUTS2;MSRB3;ZEB2;PLXNA2;CDK19;GJA1;RGS6;EBF1;STAG1;ARHGAP28;FOXP1;AKT3;NFIA;CD34;ZBTB20;FOXP2;RASGRF2;CDH13;SDCCAG8;SCMH1;XKR6	GCST007325	PMID:30643258	4.286425045732561
EFO_0005670	6.401592427495782e-05	EFO_0005670	biological process	11	4.885149446928689	Age of smoking initiation (MTAG)	MAP2K5;FBXL17;IMMP2L;PCDH9;DNAJC1;AUTS2;LRRC4C;KCNJ3;FOXP2;SEMA6D;SORCS3;ZEB2;PCDH7;FOXP1;BCL11B;MDFIC	GCST007462	PMID:30643251	4.1937119796958235
EFO_0008579	9.556603454926518e-05	EFO_0008579	biological process	22	3.903327840973008	General risk tolerance (MTAG)	TRPC6;AUTS2;ATG10;ZEB2;CDK19;PPP1R3B;PRTG;STAG1;TSHZ2;FOXP1;AKT3;TBC1D32;LRRC4C;PTN;SNTG1;ZBTB20;FOXP2;GRIN2A;SDCCAG8;ACVR2A	GCST007325	PMID:30643258	4.019696434385741
EFO_0004318	0.0001638186993679396	EFO_0004318	biological process	19	4.259852847376317	Smoking status (ever vs never smokers)	FBXL17;PCDH9;KCNJ3;FOXO3;CA10;NAV2;SEMA6D;EFNA5;FAM168A;PCDH7;ARID5B;RARB;RUNX1T1;MAML3;LRRC4C;PLXNA4	GCST007327	PMID:30643258	3.7856365264535063
EFO_0004337	0.00024496196820148413	EFO_0004337	biological process	0	4.945394263329912	General cognitive ability	LARGE1;TSHZ3;CADM2;NAV2;CDH4;BCL11A;NMNAT2;NEGR1;SYT1;FOXP1;CALN1;FOXN3;PTPRF;SLC22A23	GCST006269	PMID:29844566	3.6109013371960677
GO_0006306	0.00027550589568359505	GO_0006306	biological process	19	3.3535396937249713	DNA methylation variation (age effect)	ABCA1;TENM4;PARD3B;STC1;KCND3;PITPNC1;CREB5;KCNMA1;NOS1AP;ATP9A;DACH1;BMP7;FREM1;ADGRL2;GLIS3;LRP1B;MTUS2;SVIL;LRRTM4;PLXNA4	GCST006660	PMID:30348214	3.5598691030355867
EFO_0008579	0.00030322549898852385	EFO_0008579	biological process	23	4.337786764266762	General risk tolerance (MTAG)	CDH8;RGS6;BDNF;CADM2;RBFOX1;AUTS2;MACROD2;ZBTB20;ARNTL;MAP2;SORCS3;TRHDE;CDK19;FOXN3;CA10;XKR6;MSR1	GCST007325	PMID:30643258	3.5182342805981177
EFO_0004318	0.0006300639190932422	EFO_0004318	biological process	22	4.415329318661916	Smoking status (ever vs never smokers)	POU6F2;FBXL17;CNTNAP4;DNAJC1;LRRC4C;KCNJ3;NTM;ZEB2;FAM168A;NCAM1;ARID5B;PLPPR5;MAML3;REV3L	GCST007327	PMID:30643258	3.200615389750634
EFO_0004875	0.0007751261414226789	EFO_0004875	biological process	16	2.1206032880178154	Highest math class taken (MTAG) [MTAG]	GADD45G;POU6F2;LINGO1;DLG2;ZNF804A;ZNF423;THSD7A;WWOX;TENM4;ZEB2;ETV1;SATB2;ASTN2;ROBO2;GLI3;TCF7L2;APBA1;SEMA6D;BCL11B;PCDH17;MAML3;PRKCA;FBXL17;FOXO3;PLCB1;ALCAM;DENND5B;PTCH1;ZNF521;PCDH7;FOXN3;PRKN;ZSWIM6;KCNJ6;EFNA5;NTM;ACVR2A;NCAM1;SCMH1;MSI2;SPRED2;MEIS2;BRINP1;PLXNA4	GCST006568	PMID:30038396	3.110627616118199
EFO_0004875	0.0008075330250259346	EFO_0004875	biological process	21	2.0556264889906415	Highest math class taken (MTAG) [MTAG]	AUTS2;DLG2;AGAP1;KCNIP4;ZEB2;TENM4;SDK1;ETV1;ASXL3;ASTN2;GLI3;SGCZ;SPATS2L;CACNA1C;SEMA6D;ZFPM2;FOXP1;PRR16;ERBB4;GLCCI1;SLC16A12;PCDH17;MDFIC;PLXNB2;MAML3;FBXL17;FOXO3;EXT1;ALCAM;DENND5B;ZNF521;PCDH7;RUNX1T1;FAT3;MAML2;CAMK1D;LSAMP;CDH2;EFNA5;NCAM1;SCMH1;HMGA2;SPRED2;EGFLAM;MEIS2;PLXNA4	GCST006568	PMID:30038396	3.092839707642995
EFO_0004875	0.0010531111461972774	EFO_0004875	biological process	1	2.048528730588264	Highest math class taken (MTAG) [MTAG]	SAMD12;AUTS2;AGAP1;MAST4;ZEB2;MAGI1;DCC;BMP2K;SH3RF3;RANBP17;BACE2;RGS6;RALB;ZFPM2;PREX1;CD47;GAP43;CELF2;FOXP1;KALRN;KIAA1217;MAML3;NFIA;CRIM1;FBXL17;MEF2C;FARP1;FOXP2;NFIB;SHANK3;PDE4B;ZNF521;NPAS2;RNF144A;CSGALNACT1;MAML2;ZSWIM6;PLCL2;SORBS2;PLCL1;PDE4D;MBNL2;SCMH1;ROBO1;FGF12;SPRED2	GCST006568	PMID:30038396	2.977525790606692
EFO_0004318	0.0017665777937791109	EFO_0004318	biological process	0	3.95368558382257	Smoking status (ever vs never smokers)	RANBP17;CADM2;NAV2;TMEM132B;CTTNBP2;BCL11A;GALNT17;NTM;SDK1;TOX;HS6ST3;RUNX1T1;BRINP1;SORL1	GCST007327	PMID:30643258	2.752867233029538
EFO_0008579	0.0018939313595532563	EFO_0008579	biological process	27	2.9643236152069923	General risk tolerance (MTAG)	AUTS2;MSRB3;ZEB2;PRTG;MPPED2;CACNA1C;SEMA6D;STAG1;TSHZ2;AKT3;SORCS2;GATA4;ZBTB20;FOXP2;PCDH7;RUNX1T1;SCMH1;BACH2;RARB	GCST007325	PMID:30643258	2.7226357648826105
EFO_0004318	0.0022291871867310803	EFO_0004318	biological process	11	3.908716060008607	Smoking status (ever vs never smokers)	FBXL17;PCDH9;DNAJC1;FOXO3;KCNJ3;SEMA6D;ZEB2;FAM168A;PCDH7;HS6ST3;GALNTL6;REV3L;LRRC4C	GCST007327	PMID:30643258	2.651853461914052
EFO_0004875	0.0022798358511233467	EFO_0004875	biological process	28	2.163693531451097	Highest math class taken (MTAG) [MTAG]	LARGE1;DIAPH3;AUTS2;THSD7B;WWOX;TENM4;ZAP70;NDST4;RGS6;SPATS2L;GABRB2;KCNJ3;PALM;ZFPM2;PREX1;CELF2;CALN1;PRR16;LRRC7;ERBB4;ZNF608;BCL11B;CNTNAP5;OTX2;FARP1;PLCB1;NFIB;DENND5B;GABRB3;ZNF521;FAT3;RUNX1T1;CACNA1I;CNTNAP2;CDH2;TLE4;AFF3;EFNA5;NCAM1;VWC2L	GCST006568	PMID:30038396	2.6420964212090605
EFO_0004337	0.0029874251357292427	EFO_0004337	biological process	24	4.148252310164724	General cognitive ability	LARGE1;NAV2;FOXO3;DCDC2;NMNAT2;FOXP1;FOXN3;ADAMTS9;PTPRF;SLC22A23;PRKD1;SLC39A8	GCST006269	PMID:29844566	2.5247029692394762
EFO_0008579	0.0030023888850876095	EFO_0008579	biological process	20	3.291563652136196	General risk tolerance (MTAG)	ESRRG;EPHA5;PRTG;TSHZ3;SLC24A2;DLL1;BDNF;ACVR2A;STAG1;PLXNA2;GRIN2A;GRM8;FOXN3;VWC2L;GJA1;WSCD2;LRRC4C;KIRREL3	GCST007325	PMID:30643258	2.522533056360113
EFO_0008579	0.0035282068271217226	EFO_0008579	biological process	2	3.1772362961138376	General risk tolerance (MTAG)	LRP8;CAMKMT;SAMD12;AUTS2;MACROD2;KIAA1328;STAG1;ATG10;SCMH1;FOXP1;CDK19;FOXN3;AKT3;TBC1D32;PARP8;PRKCZ;XKR6	GCST007325	PMID:30643258	2.4524459640036995
EFO_0004318	0.006844188322760297	EFO_0004318	biological process	27	3.279297651787603	Smoking status (ever vs never smokers)	FBXL17;NAV2;FOXO3;SEMA6D;EFNA5;ZEB2;SDK1;NCAM1;PCDH7;GRID1;RARB;RUNX1T1;MAML3	GCST007327	PMID:30643258	2.1646780490417523
EFO_0004318	0.007550338010245806	EFO_0004318	biological process	13	3.387105219523689	Smoking status (ever vs never smokers)	EPHA7;MSRA;FBXL17;DNAJC1;FOXO3;CPXM2;PDE4B;ZEB2;PLXNA2;RASGRF2;DCC;MAML3;KLF7	GCST007327	PMID:30643258	2.1220336056292646
EFO_0004329	0.007634690894022131	EFO_0004329	biological process	21	14.671481357070876	Frequency of needing morning drink of alcohol after heavy drinking session in last year	JPH2;EPS8;KCNIP4;COL5A2	NEALE2_20412		2.1172085415463977
EFO_0005670	0.008204871417834138	EFO_0005670	biological process	27	3.1998595911625025	Age of smoking initiation (MTAG)	NPAS3;FBXL17;AUTS2;FOXP2;SEMA6D;EFNA5;ZEB2;IQCJ-SCHIP1;SDK1;NCAM1;PCDH7;RUNX1T1;MAML3	GCST007462	PMID:30643251	2.0859282205783067
EFO_0008579	0.008460982695617755	EFO_0008579	biological process	16	2.8626530057122133	General risk tolerance (MTAG)	PRTG;GATA4;MPPED2;SEMA6D;ACVR2A;STAG1;ATG10;ZEB2;PCDH7;TSHZ2;FOXN3;SCMH1;BACH2;AKT3;GJA1;PTN	GCST007325	PMID:30643258	2.072579193166743
EFO_0008579	0.009647961352262284	EFO_0008579	biological process	13	2.691698326731873	General risk tolerance (MTAG)	CDH13;AUTS2;ZBTB20;SDCCAG8;HIVEP3;MSRB3;STAG1;ZEB2;PLXNA2;FOXP1;CDK19;BACH2;AKT3;GJA1;RASGRF2;XKR6;MSR1	GCST007325	PMID:30643258	2.01556444489431
EFO_0004318	0.010015725124982602	EFO_0004318	biological process	21	3.253172560177031	Smoking status (ever vs never smokers)	FBXL17;RUNX1T1;FOXO3;SEMA6D;EFNA5;ZEB2;SDK1;NCAM1;PCDH7;PLPPR5;MAML3;PLXNA4	GCST007327	PMID:30643258	1.999317602897759
EFO_0005670	0.010925280357437783	EFO_0005670	biological process	21	3.1752925510806973	Age of smoking initiation (MTAG)	FBXL17;AUTS2;SEMA6D;EFNA5;ZEB2;SDK1;NCAM1;FOXP1;PCDH7;RUNX1T1;MAML3;MDFIC	GCST007462	PMID:30643251	1.9615674096320537
EFO_0008579	0.010925280357437783	EFO_0008579	biological process	21	2.646520547023499	General risk tolerance (MTAG)	GATA4;SPRY2;CACNA1C;AUTS2;CDH13;HIVEP3;SEMA6D;MSRB3;EBF1;STAG1;ZEB2;PCDH7;SCMH1;FOXP1;AKT3;RUNX1T1	GCST007325	PMID:30643258	1.9615674096320537
EFO_0005670	0.011183459068440597	EFO_0005670	biological process	2	3.5500505362732686	Age of smoking initiation (MTAG)	MAP2K5;FBXL17;IMMP2L;AUTS2;EFNA5;ZNF423;NTM;SDK1;NLGN1;FOXP1;NPAS3;AGBL4	GCST007462	PMID:30643251	1.9514238474346546
EFO_0005422	0.012775187038965952	EFO_0005422	biological process	13	5.329775487670225	Facial ageing	DOCK8;ZBTB20;ARL15;KLHL6;AKAP12;ZEB2;RUNX2	NEALE2_1757		1.8936327327277955
GO_0044691	0.012965290303550911	GO_0044691	biological process	19	19.75374149659864	Primary tooth development (time to first tooth eruption)	BMP4;MSRB3;HMGA2	GCST002030	PMID:23704328	1.887217754573863
GO_0006306	0.013770194344995806	GO_0006306	biological process	13	2.6309140340201753	DNA methylation variation (age effect)	PDE8A;DDAH1;STC1;DACH1;BCL2;FYN;CREB5;PTPRM;MTHFD1L;PARD3B;PIK3CG;NR5A2;ENTPD1;PITPNC1;SVIL;MSR1	GCST006660	PMID:30348214	1.8610599303049025
EFO_0005670	0.015807032814434303	EFO_0005670	biological process	0	3.225568217422052	Age of smoking initiation (MTAG)	IMMP2L;HCN1;CADM2;CTTNBP2;NTM;SDK1;IGSF21;FOXP1;TOX;ELAVL2;NLGN1;RUNX1T1	GCST007462	PMID:30643251	1.8011496451378046
EFO_0008579	0.015807032814434303	EFO_0008579	biological process	0	2.6889278537149104	General risk tolerance (MTAG)	LRP8;SOX2;CAMKMT;MPPED2;HCN1;SAMD12;RBFOX1;SLC24A2;TSHZ3;CADM2;FOXP1;FOXN3;NFIA;RUNX1T1;NRXN1;XKR6	GCST007325	PMID:30643258	1.8011496451378046
EFO_0004875	0.015906170295294998	EFO_0004875	biological process	13	1.7373492153526187	Highest math class taken (MTAG) [MTAG]	RAPGEF4;AUTS2;AGAP1;MAST4;ZEB2;MAGI1;DCC;ASXL3;BMP2K;SH3RF3;ZFPM2;PREX1;CELF2;FOXP1;KALRN;KIAA1217;MAML3;CRIM1;FBXL17;MEF2C;FOXO3;FARP1;EXT1;DENND5B;NFIB;PDE4B;ZNF521;GULP1;CSGALNACT1;MAML2;ZSWIM6;MSRA;CDH2;SORBS2;PLCL1;DUSP6;PDE4D;MBNL2;CCDC85A;PDE1C;FGF12;SPRED2	GCST006568	PMID:30038396	1.798434372196918
EFO_0004319	0.016247477192656252	EFO_0004319	biological process	2	4.7643207855973815	Smoking cessation (MTAG)	SCAI;BCL11A;TMTC2;CPNE7;FOXP1;PTPRF;XYLT1;AGBL4	GCST007464	PMID:30643251	1.7892140639999425
GO_0036273	0.018393117304330135	GO_0036273	biological process	9	4.387398251432017	Statin medication	TMEM255B;CCND2;HMGCR;LDLR;ABCA1;RP1;HHEX;NOS3;CCDC93	FINNGEN_R6_RX_STATIN		1.7353446593786876
EFO_0004319	0.019039218788521516	EFO_0004319	biological process	0	4.333931240657698	Smoking cessation (MTAG)	HCN1;CTTNBP2;BCL11A;CPNE7;IGSF21;FOXP1;PTPRF;XYLT1	GCST007464	PMID:30643251	1.7203508754260581
GO_0044691	0.0211862603334438	GO_0044691	biological process	26	22.576506955177745	Primary tooth development (time to first tooth eruption)	BMP4;MSRB3;ADK	GCST002030	PMID:23704328	1.6739456954779994
EFO_0004875	0.02124080213769082	EFO_0004875	biological process	20	1.8366938829273132	Highest math class taken (MTAG) [MTAG]	GADD45G;DIAPH3;ZNF804A;WWOX;TENM4;AXIN2;GRM8;RORA;SLC35F4;RANBP17;PREX1;SYT1;MITF;PRR16;MDFIC;LRRC4C;FAM53B;AP3B2;GRIN2A;FOXN3;GLIS3;CPNE4;TTC29;FAM222A;SLC16A7;KIRREL3;ZSWIM6;EPHA5;BDNF;CDH2;EFNA5;ACVR2A;PDE4D;ROBO1;CCDC85A;VWC2L;SPRED2;SLC22A23;EGFLAM	GCST006568	PMID:30038396	1.672829086583273
GO_0044691	0.02319112700645898	GO_0044691	biological process	9	24.381031613976706	Primary tooth development (time to first tooth eruption)	BMP4;HMGA2;KCNJ2	GCST002030	PMID:23704328	1.6346781456788224
EFO_0005670	0.02385094716880673	EFO_0005670	biological process	16	3.109492397660819	Age of smoking initiation (MTAG)	ZBTB16;FBXL17;BCL11B;ZNF423;SEMA6D;NTM;EFNA5;ZEB2;PCDH7;NCAM1;MAML3	GCST007462	PMID:30643251	1.6224943695790741
EFO_0004318	0.024072051940114195	EFO_0004318	biological process	2	3.294689958925125	Smoking status (ever vs never smokers)	RANBP17;POU6F2;MSRA;FBXL17;TMEM132B;GALNT17;BCL11A;EFNA5;NTM;FAM168A;SDK1	GCST007327	PMID:30643258	1.6184868881925085
EFO_0004875	0.027716307432637456	EFO_0004875	biological process	12	1.7159335784003042	Highest math class taken (MTAG) [MTAG]	DIAPH3;RAPGEF4;WWOX;ZEB2;SDK1;NPY1R;RORA;ASTN2;BMP2K;SH3RF3;ZAP70;ZNF536;CD40;KALRN;GRIN3A;PCDH17;CRIM1;FBXL17;MEF2C;ASTN1;FOXO3;FARP1;PDE4B;SHANK3;ZNF521;FAM222A;RUNX1T1;MAML2;PRKN;ZSWIM6;PLCL2;PLCL1;PDE4D;MBNL2;SCMH1;PDE1C;ROBO1;HMGA2;MSI2;BRINP1	GCST006568	PMID:30038396	1.5572646300649415
EFO_0004875	0.028819418307436954	EFO_0004875	biological process	15	1.9280021161260932	Highest math class taken (MTAG) [MTAG]	DIAPH3;AUTS2;AGAP1;WWOX;MAGI1;SDK1;ETV1;ROBO2;GLI3;ZFHX4;SYT1;FOXP1;CSMD1;GLCCI1;PLXDC2;ZNF608;MDFIC;SNRNP200;DPH6;HSPH1;NOVA1;FARP1;PLCB1;DENND5B;BRIP1;FAT3;EHBP1;PRKN;ZSWIM6;LSAMP;AFF3;TLE4;EFNA5;ROBO1;SCMH1;TOX3;HMGA2;VWA8	GCST006568	PMID:30038396	1.5403147892548466
GO_0006306	0.030802873215053136	GO_0006306	biological process	27	2.3667632363887563	DNA methylation variation (age effect)	KCNMA1;ADGRL2;DDAH1;LRRTM4;DACH1;ABCA1;KCND3;PTPRM;CDH11;CDH10;CTNND2;TENM4;PARD3B;ARHGAP42;FREM1	GCST006660	PMID:30348214	1.511408771705911
GO_0006306	0.034200953982712015	GO_0006306	biological process	1	2.376515528981897	DNA methylation variation (age effect)	PDE8A;ABCA1;BCL2;GPRIN3;PTPRM;GAP43;MTHFD1L;PARD3B;PIK3CG;NR5A2;NFIA;PITPNC1;SVIL;FYN	GCST006660	PMID:30348214	1.4659617798020712
EFO_0005670	0.03525437873596152	EFO_0005670	biological process	5	3.235806448716452	Age of smoking initiation (MTAG)	IMMP2L;PCDH9;JADE2;FOXP2;EFNA5;GRIN2A;CDH6;PCDH7;ARID5B;TTC29;NPAS3;MDFIC	GCST007462	PMID:30643251	1.4527869341970099
EFO_0005422	0.038015500915835644	EFO_0005422	biological process	12	4.639270866645347	Facial ageing	ZBTB20;ARL15;KLHL6;AKAP12;ZEB2;TRPS1	NEALE2_1757		1.4200392826058728
EFO_0004875	0.043720014442445235	EFO_0004875	biological process	5	1.7695052434619902	Highest math class taken (MTAG) [MTAG]	LARGE1;DLG2;ZNF804A;WWOX;MAGI1;AXIN2;GRM8;RORA;STOX2;SLC35F4;GABRB2;NEDD4L;HABP4;SYT1;MDFIC;FAM53B;PCDH9;FARP1;FOXP2;EXT1;ALCAM;GABRB3;GRIN2A;PCDH7;FOXN3;TTC29;FAM222A;CTNNA3;FAT3;GAD1;MYO3B;CDH2;DCLK1;TLE4;EFNA5;PDE4D;MSI2;LRRN2;SLC22A23;ST6GAL2	GCST006568	PMID:30038396	1.3593197032577138
EFO_0004329	0.044208705035736935	EFO_0004329	biological process	19	9.213333333333333	Frequency of needing morning drink of alcohol after heavy drinking session in last year	WHRN;KCNIP4;COL5A2	NEALE2_20412		1.3544922062900207
EFO_0004318	0.044798327291021366	EFO_0004318	biological process	23	3.570940170940171	Smoking status (ever vs never smokers)	POU6F2;BDNF;CADM2;EFNA5;GRID1;ASCC3;REV3L;CA10;SORL1	GCST007327	PMID:30643258	1.3487382016679583
EFO_0003940	0.049464435671804974	EFO_0003940	biological process	14	16.954160438465372	Number of days/week of moderate physical activity 10+ minutes	APOE;ZCCHC7;PLCL1	NEALE2_884		1.30570694132263
EFO_0004318	0.05007364950615348	EFO_0004318	biological process	1	2.6432398416263885	Smoking status (ever vs never smokers)	RANBP17;FBXL17;CTTNBP2;PDE4B;ZEB2;PLXNA2;RASGRF2;DCC;MAML3;KLF7	GCST007327	PMID:30643258	1.3003907548638316
EFO_0005422	0.05149951454455332	EFO_0005422	biological process	20	5.069188957613731	Facial ageing	EFEMP1;MFAP4;ARL15;FMN1;TRPS1;SLC39A8	NEALE2_1757		1.2881968647765836
